
2024/07/16 (01:02:53) | ===> btop++ v.1.3.2
2024/07/16 (01:02:53) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (01:02:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (01:02:53) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (01:02:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (01:02:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (01:02:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (01:02:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (01:03:08) | ===> btop++ v.1.3.2
2024/07/16 (01:03:08) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (01:03:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (01:03:08) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (01:03:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (01:03:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (01:03:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (01:03:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (01:03:33) | ===> btop++ v.1.3.2
2024/07/16 (01:03:33) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (01:03:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (01:03:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (01:03:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (01:03:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (01:03:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (01:03:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (10:08:57) | ===> btop++ v.1.3.2
2024/07/16 (10:08:57) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (10:08:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (10:08:57) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (10:08:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (10:08:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (10:08:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (10:08:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:25:39) | ===> btop++ v.1.3.2
2024/07/16 (15:25:39) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:42) | ===> btop++ v.1.3.2
2024/07/16 (15:25:42) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:43) | ===> btop++ v.1.3.2
2024/07/16 (15:25:43) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:43) | ===> btop++ v.1.3.2
2024/07/16 (15:25:43) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:44) | ===> btop++ v.1.3.2
2024/07/16 (15:25:44) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:45) | ===> btop++ v.1.3.2
2024/07/16 (15:25:45) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:45) | ===> btop++ v.1.3.2
2024/07/16 (15:25:45) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:45) | ===> btop++ v.1.3.2
2024/07/16 (15:25:45) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:48) | ===> btop++ v.1.3.2
2024/07/16 (15:25:48) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:49) | ===> btop++ v.1.3.2
2024/07/16 (15:25:49) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:25:51) | ===> btop++ v.1.3.2
2024/07/16 (15:25:51) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/16 (15:26:24) | ===> btop++ v.1.3.2
2024/07/16 (15:26:24) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:26:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:26:24) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:26:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:26:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:26:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:26:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:27:45) | ===> btop++ v.1.3.2
2024/07/16 (15:27:45) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:27:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:27:45) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:27:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:27:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:27:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:27:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:28:02) | ===> btop++ v.1.3.2
2024/07/16 (15:28:02) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:28:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:28:02) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:28:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:28:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:28:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:28:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:29:03) | ===> btop++ v.1.3.2
2024/07/16 (15:29:03) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:29:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:29:03) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:29:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:29:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:29:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:29:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:29:50) | ===> btop++ v.1.3.2
2024/07/16 (15:29:50) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:29:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:29:50) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:29:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:29:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:29:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:29:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:30:28) | ===> btop++ v.1.3.2
2024/07/16 (15:30:28) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:30:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:30:28) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:30:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:30:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
